-5.071533203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.067626953125,966,0,0,0,54920,423,288,65395,0,0,0,30,38930,65530,50974,32767,32767,34328,34328,640,0,0,0,21845,21845,15218,39552,0,0,10928,65535
-5.063720703125,925,0,0,0,54903,404,253,65427,65486,65515,43,31,20241,65530,43657,32767,32767,34120,34120,640,21,9,64527,21845,21845,15218,39488,0,0,10928,65535
-5.036376953125,916,170,0,0,54902,399,251,65429,65484,65514,44,31,21392,65530,43554,32767,32767,34062,34062,640,21,17,64510,126,0,15218,39488,0,0,10928,65535
-5.032470703125,914,170,0,0,54901,398,249,65431,65485,65513,45,31,22537,65530,43424,32767,32767,33973,33973,640,37,9,64510,0,0,15218,39488,0,0,10928,65535
-5.028564453125,914,170,0,0,54900,398,247,65433,65483,65515,46,31,23770,65530,43392,32767,32767,33869,33869,640,5,65513,64518,0,0,15218,39488,0,0,10928,65535
-5.024658203125,914,170,0,0,54899,398,245,65435,65480,65514,45,31,24999,65530,43272,32767,32767,33762,33762,640,21,17,64519,0,0,15218,39488,0,0,10928,65535
-5.020751953125,914,170,0,0,54898,398,242,65436,65479,65511,48,31,26307,65530,43214,32767,32767,33652,33652,640,21,17,64536,0,0,15218,39488,0,0,10928,65535
-5.016845703125,914,170,0,0,54897,398,240,65438,65475,65512,52,31,27480,65530,43071,32767,32767,33555,33555,640,13,17,64553,0,0,15218,39488,0,0,10928,65535
-5.01171875,914,170,0,0,54896,398,238,65441,65480,65515,54,31,28166,65530,42750,32767,32767,33468,33468,640,13,1,64519,0,6144,15218,39488,0,0,10928,65535
-5.009033203125,916,170,0,0,54896,398,235,65443,65473,65513,47,31,29342,65530,42759,32767,32767,33389,33389,640,37,9,64476,0,0,15218,39488,0,0,10928,65535
-5.005126953125,917,170,0,1,54896,399,235,65443,65473,65513,47,31,29342,65530,42759,32767,32767,33337,33337,640,37,9,64476,0,0,15218,39488,0,0,10928,65535
-5.001220703125,918,170,0,1,54894,399,230,65447,65471,65508,49,31,32038,65530,42853,32767,32767,33266,33266,640,21,17,64519,3840,0,15218,39488,0,0,10928,65535
-4.598876953125,920,170,0,1,54893,399,228,65449,65465,65514,52,31,32869,65530,42662,32767,32767,33219,33219,640,21,65530,64510,0,65280,15218,39488,0,0,10928,65535
-4.594970703125,919,170,0,1,54892,399,225,65451,65470,65513,50,31,33664,65530,42322,32767,32767,33170,33170,640,37,1,64518,65280,0,15218,39488,0,0,10928,65535
-4.591064453125,917,170,0,1,54891,398,222,65453,65469,65510,54,31,34974,65530,42266,32767,32767,33128,33128,640,29,51,64502,0,0,15218,39424,0,0,10928,65535
-4.587158203125,916,170,0,1,54890,398,220,65455,65468,65508,53,31,36319,65530,42254,32767,32767,33099,33099,640,37,26,64493,21760,85,15218,39424,0,0,10928,65535
-4.583251953125,918,170,0,1,54889,398,217,65457,65467,65510,50,31,37327,65530,42029,32767,32767,33068,33068,640,21,9,64502,0,0,15218,39424,0,0,10928,65535
-4.579345703125,920,170,0,1,54888,399,214,65459,65464,65510,50,31,38305,65530,41791,32767,32767,33041,33041,640,13,9,64510,0,0,15218,39424,0,0,10928,65535
-4.575439453125,922,170,0,1,54887,399,211,65461,65463,65510,51,31,39389,65530,41614,32767,32767,33013,33013,640,13,9,64510,1792,1,15218,39424,0,0,10928,65535
-4.571533203125,922,170,0,1,54886,399,208,65463,65463,65509,51,31,40313,65530,41445,32767,32767,32986,32986,640,13,17,64502,0,0,15218,39424,0,0,10928,65535
-4.567626953125,922,170,0,1,54885,399,205,65465,65461,65508,53,31,41245,65530,41323,32767,32767,32959,32959,640,5,9,64502,0,0,15218,39424,0,0,10928,65535
-4.563720703125,922,170,0,1,54884,399,202,65467,65462,65508,52,31,42162,65530,41216,32767,32767,32932,32932,640,13,17,64519,0,0,15218,39424,0,0,10928,65535
-4.536376953125,922,170,0,1,54882,399,199,65470,65461,65509,52,31,43198,65530,41192,32767,32767,32906,32906,640,13,17,64510,0,0,15218,39424,0,0,10928,65535
-4.532470703125,922,170,0,1,54881,399,196,65472,65459,65509,53,31,44096,65530,41180,32767,32767,32880,32880,640,37,17,64510,0,0,15218,39424,0,0,10928,65535
-4.528564453125,921,170,0,1,54880,399,193,65474,65460,65509,56,31,44910,65530,41034,32767,32767,32854,32854,640,29,26,64510,0,0,15218,39424,0,0,10928,65535
-4.524658203125,921,170,0,1,54879,399,190,65476,65459,65507,57,31,45711,65530,40805,32767,32767,32829,32829,640,5,1,64493,0,0,15218,39424,0,0,10928,65535
-4.520751953125,922,170,0,1,54878,399,187,65479,65460,65508,56,31,46428,65530,40518,32767,32767,32804,32804,640,21,9,64502,0,0,15218,39424,0,0,10928,65535
-4.516845703125,922,170,0,1,54877,398,184,65481,65459,65507,57,31,47513,65530,40465,32767,32767,32782,32782,640,13,17,64502,0,0,15218,39424,0,0,10928,65535
-4.512939453125,923,170,0,1,54876,399,181,65483,65457,65509,56,31,48482,65530,40335,32767,32767,32759,32759,640,13,9,64493,0,0,15218,39424,0,0,10928,65535
